County,Year-Month,Precipitation,Avg Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),windeventcount,Avg Soil Temp (F),AQI_PM25,AQI_PM10,FIRE_Acres_Burned,fungicide_lbs_prd_used,rodent_lbs_prd_used,rate_per_100k
Los Angeles,2003-05,1.6725,77.10819892473118,3.82869623655914,2704.25,0.0,67.09381720430108,80.0,25.0,,703.215,522.0,0.0511920320625935
Los Angeles,2003-06,0.0,82.07777777777778,3.975555555555556,2148.15,0.0,71.72777777777777,71.5,29.0,,276.6138,170.0,0.0819072513001496
Los Angeles,2003-07,0.175,75.83321645628799,3.7013282732447816,2518.2250000000004,0.0,77.4258019336767,74.0,36.0,,1474.7581,1525.9842,0.1228608769502244
Los Angeles,2003-08,0.0,66.05645161290323,3.410483870967742,2541.975,0.0,76.54731182795699,65.0,25.0,,4497.7891,480.8968,0.0819072513001496
Los Angeles,2003-09,0.0025,76.00833333333333,3.175,2024.675,0.0,74.30333333333334,89.5,35.0,,1099.5716,805.9842,0.0921456577126683
Los Angeles,2003-10,0.3424999999999999,68.21693548387097,2.868049155145929,2035.6,0.0,69.3596370967742,90.0,42.0,,2070.7484,260.5,0.1330992833627431
Los Angeles,2003-11,0.5375000000000001,62.11666666666667,3.310219298245614,2049.2,0.25,60.25635964912281,70.0,19.0,,340.6239,25.0,0.1433376897752618
Los Angeles,2003-12,1.5325,61.98575268817204,3.081344086021505,2279.425,0.0,55.27040322580645,80.0,19.0,,460.5357,397.0605,0.0511920320625935
Los Angeles,2004-01,0.2525,64.73387096774194,3.112096774193549,2318.325,0.0,53.76370967741936,98.0,22.0,,292.6698,211.6634,0.1327443161691869
Los Angeles,2004-02,4.1825,64.93103448275862,3.5258620689655173,2451.025,0.0,54.30948275862069,66.0,12.0,,259.6103,334.2105,0.0816888099502688
Los Angeles,2004-03,0.7625,72.25,3.445161290322581,2559.325,0.0,63.193548387096776,77.0,26.0,,545.1056,333.0,0.0816888099502688
Los Angeles,2004-04,0.4025,71.31666666666666,3.6358333333333337,2619.25,0.0,65.9,68.0,27.5,,1141.6356,904.9049,0.1837998223881049
